episode,reward,length
1,237.4943573991012,375
2,237.91987671241628,370
3,284.8794534920678,359
4,230.46117564411352,354
5,266.7355861235385,331
6,231.0112773296673,392
7,219.53398095936456,368
8,225.76264442296446,395
9,244.84871930713936,363
10,264.5753425623938,390
11,277.4146560848639,359
12,219.3137798663552,373
13,261.4900847389049,373
14,273.6470907766063,382
15,274.2757760218726,309
16,290.85753767555724,367
17,272.93082788555677,326
18,263.52387576198294,376
19,231.8315385238514,400
20,222.30220713259615,378
